Loaded 175 problems
[base] total=875 cached=1 pending=874 conc=72
[base] 25/874 new; errors=0; 26.5/min
[base] 50/874 new; errors=0; 15.8/min
[base] 75/874 new; errors=0; 12.1/min
[base] 100/874 new; errors=0; 7.4/min
[base] 125/874 new; errors=0; 7.3/min
[base] 150/874 new; errors=0; 7.7/min
[base] 175/874 new; errors=0; 6.8/min
[base] 200/874 new; errors=0; 6.0/min
[base] 225/874 new; errors=0; 6.7/min
[base] 250/874 new; errors=0; 7.1/min
[base] 275/874 new; errors=0; 6.8/min
[base] 300/874 new; errors=0; 6.0/min
[base] 325/874 new; errors=0; 6.4/min
[base] 350/874 new; errors=0; 6.6/min
[base] 375/874 new; errors=0; 6.5/min
[base] 400/874 new; errors=0; 6.2/min
[base] 425/874 new; errors=0; 6.4/min
[base] 450/874 new; errors=0; 6.6/min
[base] 475/874 new; errors=0; 6.2/min
[base] 500/874 new; errors=0; 6.0/min
[base] 525/874 new; errors=0; 6.2/min
[base] 550/874 new; errors=0; 6.3/min
[base] 575/874 new; errors=0; 6.4/min
[base] 600/874 new; errors=0; 6.4/min
[base] 625/874 new; errors=0; 6.4/min
[base] 650/874 new; errors=0; 6.4/min
[base] 675/874 new; errors=0; 6.3/min
[base] 700/874 new; errors=0; 6.1/min
[base] 725/874 new; errors=0; 6.2/min
[base] 750/874 new; errors=0; 6.4/min
[base] 775/874 new; errors=0; 6.5/min
[base] 800/874 new; errors=0; 6.3/min
[base] 825/874 new; errors=0; 6.2/min
[base] 850/874 new; errors=0; 6.0/min
[base] 874/874 new; errors=0; 5.9/min
[base] COMPLETE 875/875 wall_seconds=8890.012
