Loaded 880 problems
[base] version=v1_v5 total=4400 cached=1 pending=4399 conc=96
[base] 25/4399 new; errors=0; 48.1/min; elapsed=31s
[base] 50/4399 new; errors=0; 52.9/min; elapsed=57s
[base] 75/4399 new; errors=0; 53.3/min; elapsed=84s
[base] 100/4399 new; errors=0; 47.2/min; elapsed=127s
[base] 125/4399 new; errors=0; 41.8/min; elapsed=180s
[base] 150/4399 new; errors=0; 37.5/min; elapsed=240s
[base] 175/4399 new; errors=0; 35.5/min; elapsed=296s
[base] 200/4399 new; errors=0; 32.7/min; elapsed=367s
[base] 225/4399 new; errors=0; 30.8/min; elapsed=438s
[base] 250/4399 new; errors=0; 28.2/min; elapsed=532s
[base] 275/4399 new; errors=0; 24.4/min; elapsed=677s
[base] 300/4399 new; errors=0; 23.2/min; elapsed=777s
[base] 325/4399 new; errors=0; 21.8/min; elapsed=894s
[base] 350/4399 new; errors=0; 20.6/min; elapsed=1022s
[base] 375/4399 new; errors=0; 20.6/min; elapsed=1091s
[base] 400/4399 new; errors=0; 20.1/min; elapsed=1193s
[base] 425/4399 new; errors=0; 18.7/min; elapsed=1364s
[base] 450/4399 new; errors=0; 18.4/min; elapsed=1470s
[base] 475/4399 new; errors=0; 18.4/min; elapsed=1547s
[base] 500/4399 new; errors=0; 17.5/min; elapsed=1717s
[base] 525/4399 new; errors=0; 16.6/min; elapsed=1894s
[base] 550/4399 new; errors=0; 16.2/min; elapsed=2040s
[base] 575/4399 new; errors=0; 16.4/min; elapsed=2105s
[base] 600/4399 new; errors=0; 16.8/min; elapsed=2149s
[base] 625/4399 new; errors=0; 17.1/min; elapsed=2197s
[base] 650/4399 new; errors=0; 16.5/min; elapsed=2365s
[base] 675/4399 new; errors=0; 16.0/min; elapsed=2538s
[base] 700/4399 new; errors=0; 15.2/min; elapsed=2759s
[base] 725/4399 new; errors=0; 14.7/min; elapsed=2960s
[base] 750/4399 new; errors=0; 14.3/min; elapsed=3145s
[base] 775/4399 new; errors=0; 14.0/min; elapsed=3319s
[base] 800/4399 new; errors=0; 13.0/min; elapsed=3699s
[base] 825/4399 new; errors=0; 12.8/min; elapsed=3880s
[base] 850/4399 new; errors=0; 12.7/min; elapsed=4003s
[base] 875/4399 new; errors=0; 12.7/min; elapsed=4122s
[base] 900/4399 new; errors=0; 12.8/min; elapsed=4223s
[base] 925/4399 new; errors=0; 12.7/min; elapsed=4359s
[base] 950/4399 new; errors=0; 12.6/min; elapsed=4538s
[base] 975/4399 new; errors=0; 12.7/min; elapsed=4612s
[base] 1000/4399 new; errors=0; 12.7/min; elapsed=4714s
[base] 1025/4399 new; errors=0; 12.8/min; elapsed=4806s
[base] 1050/4399 new; errors=0; 12.9/min; elapsed=4871s
[base] 1075/4399 new; errors=0; 12.9/min; elapsed=4986s
[base] 1100/4399 new; errors=0; 12.9/min; elapsed=5114s
[base] 1125/4399 new; errors=0; 12.9/min; elapsed=5216s
[base] 1150/4399 new; errors=0; 12.9/min; elapsed=5340s
[base] 1175/4399 new; errors=0; 12.9/min; elapsed=5463s
[base] 1200/4399 new; errors=0; 12.9/min; elapsed=5581s
[base] 1225/4399 new; errors=0; 13.0/min; elapsed=5637s
[base] 1250/4399 new; errors=0; 13.1/min; elapsed=5719s
[base] 1275/4399 new; errors=0; 13.1/min; elapsed=5850s
[base] 1300/4399 new; errors=0; 12.9/min; elapsed=6068s
[base] 1325/4399 new; errors=0; 12.9/min; elapsed=6165s
[base] 1350/4399 new; errors=0; 13.0/min; elapsed=6240s
[base] 1375/4399 new; errors=0; 13.0/min; elapsed=6353s
[base] 1400/4399 new; errors=0; 12.9/min; elapsed=6497s
[base] 1425/4399 new; errors=0; 13.1/min; elapsed=6547s
[base] 1450/4399 new; errors=0; 13.0/min; elapsed=6668s
[base] 1475/4399 new; errors=0; 13.1/min; elapsed=6744s
[base] 1500/4399 new; errors=0; 13.2/min; elapsed=6819s
[base] 1525/4399 new; errors=0; 13.3/min; elapsed=6900s
[base] 1550/4399 new; errors=0; 13.1/min; elapsed=7109s
[base] 1575/4399 new; errors=0; 13.0/min; elapsed=7258s
[base] 1600/4399 new; errors=0; 12.9/min; elapsed=7456s
[base] 1625/4399 new; errors=0; 12.7/min; elapsed=7678s
[base] 1650/4399 new; errors=0; 12.6/min; elapsed=7842s
[base] 1675/4399 new; errors=0; 12.2/min; elapsed=8233s
[base] 1700/4399 new; errors=0; 12.3/min; elapsed=8323s
[base] 1725/4399 new; errors=0; 12.3/min; elapsed=8420s
[base] 1750/4399 new; errors=0; 12.4/min; elapsed=8492s
[base] 1775/4399 new; errors=0; 12.5/min; elapsed=8554s
[base] 1800/4399 new; errors=0; 12.4/min; elapsed=8700s
[base] 1825/4399 new; errors=0; 12.5/min; elapsed=8741s
[base] 1850/4399 new; errors=0; 12.5/min; elapsed=8867s
[base] 1875/4399 new; errors=0; 12.6/min; elapsed=8930s
[base] 1900/4399 new; errors=0; 12.5/min; elapsed=9110s
[base] 1925/4399 new; errors=0; 12.4/min; elapsed=9299s
[base] 1950/4399 new; errors=0; 12.5/min; elapsed=9368s
[base] 1975/4399 new; errors=0; 12.5/min; elapsed=9443s
[base] 2000/4399 new; errors=0; 12.5/min; elapsed=9564s
[base] 2025/4399 new; errors=0; 12.6/min; elapsed=9669s
[base] 2050/4399 new; errors=0; 12.6/min; elapsed=9746s
[base] 2075/4399 new; errors=0; 12.6/min; elapsed=9843s
[base] 2100/4399 new; errors=0; 12.7/min; elapsed=9955s
[base] 2125/4399 new; errors=0; 12.6/min; elapsed=10107s
[base] 2150/4399 new; errors=0; 12.5/min; elapsed=10286s
[base] 2175/4399 new; errors=0; 12.6/min; elapsed=10391s
[base] 2200/4399 new; errors=0; 12.6/min; elapsed=10482s
[base] 2225/4399 new; errors=0; 12.5/min; elapsed=10655s
[base] 2250/4399 new; errors=0; 12.6/min; elapsed=10716s
[base] 2275/4399 new; errors=0; 12.6/min; elapsed=10832s
[base] 2300/4399 new; errors=0; 12.6/min; elapsed=10914s
[base] 2325/4399 new; errors=0; 12.7/min; elapsed=11001s
[base] 2350/4399 new; errors=0; 12.8/min; elapsed=11052s
[base] 2375/4399 new; errors=0; 12.8/min; elapsed=11134s
[base] 2400/4399 new; errors=0; 12.7/min; elapsed=11305s
[base] 2425/4399 new; errors=0; 12.7/min; elapsed=11487s
[base] 2450/4399 new; errors=0; 12.6/min; elapsed=11669s
[base] 2475/4399 new; errors=0; 12.6/min; elapsed=11821s
